Tipo,Nombre,Email,Contraseña,ID,Nivel
Admin,"Admin Test","admin.test@soci.app","AdminTest123!",admin-1,0
Coordinador de Zona,"Coordinador Zona 1","zone.coordinator.1@soci.app","ZoneCoord1Test123!",zone-coord-1,1
Coordinador de Campo,"Coordinador Campo - Zona 1","field.coordinator.zone1@soci.app","FieldCoord1Test123!",field-coord-1,2
Supervisor,"Supervisor - Zona 1","supervisor.zone1@soci.app","Supervisor1Test123!",supervisor-1,3
Socializador,"Socializador - Zona 1 #1","socializer.zone1_1@soci.app","Socializer1_1Test123!",socializer-1-1,4
Socializador,"Socializador - Zona 1 #2","socializer.zone1_2@soci.app","Socializer1_2Test123!",socializer-1-2,4
Coordinador de Zona,"Coordinador Zona 2","zone.coordinator.2@soci.app","ZoneCoord2Test123!",zone-coord-2,1
Coordinador de Campo,"Coordinador Campo - Zona 2","field.coordinator.zone2@soci.app","FieldCoord2Test123!",field-coord-2,2
Supervisor,"Supervisor - Zona 2","supervisor.zone2@soci.app","Supervisor2Test123!",supervisor-2,3
Socializador,"Socializador - Zona 2 #1","socializer.zone2_1@soci.app","Socializer2_1Test123!",socializer-2-1,4
Socializador,"Socializador - Zona 2 #2","socializer.zone2_2@soci.app","Socializer2_2Test123!",socializer-2-2,4
